SeniorCitizen,tenure,MonthlyCharges,Churn
0,1,29.85,No
0,34,56.95,No
0,2,53.85,Yes
0,45,42.3,No
0,2,70.7,Yes
0,8,99.65,Yes
0,22,89.1,No
0,10,29.75,No
0,28,104.8,Yes
0,62,56.15,No
0,13,49.95,No
0,58,100.35,No
0,49,103.7,Yes
0,25,105.5,No
0,69,113.25,No
0,71,106.7,No
0,10,55.2,Yes
0,21,90.05,No
1,1,39.65,Yes
0,58,59.9,No
0,49,59.6,No
0,30,55.3,No
0,47,99.35,Yes
0,1,30.2,Yes
0,72,90.25,No
0,17,64.7,Yes
1,71,96.35,No
1,2,95.5,No
0,27,66.15,No
1,1,45.25,No
0,72,99.9,No
0,5,69.7,Yes
0,46,74.8,No
0,34,106.35,Yes
0,11,97.85,Yes
0,10,49.55,No
0,70,69.2,No
0,63,79.85,No
0,13,76.2,No
0,49,84.5,No
0,2,49.25,No
0,2,80.65,Yes
0,52,79.75,No
0,69,64.15,No
1,43,90.25,No
0,15,99.1,Yes
1,25,69.5,No
1,8,80.65,Yes
1,60,74.85,No
1,18,95.45,Yes
0,63,99.65,No
1,66,108.45,No
0,72,107.5,No
0,47,100.5,No
0,60,89.9,No
0,72,42.1,No
0,18,54.4,No
0,9,94.4,Yes
0,3,75.3,No
0,47,78.9,No
0,31,79.2,No
0,10,79.85,No
0,1,49.05,No
1,64,111.6,No
0,3,64.5,No
1,56,110.5,No
0,46,55.65,No
0,8,54.65,No
1,30,74.75,No
0,1,79.35,Yes
0,11,50.55,No
0,7,75.15,Yes
0,42,103.8,No
0,9,99.3,No
0,35,62.15,No
0,29,33.75,No
0,30,82.05,No
1,1,74.7,No
0,66,84,No
0,65,111.05,No
0,72,100.9,No
0,12,78.95,Yes
0,71,66.85,No
1,25,98.5,Yes
0,38,95,No
1,66,45.55,No
0,68,110,Yes
0,5,24.3,No
0,72,104.15,No
0,32,30.15,No
0,43,94.35,No
0,55,96.75,Yes
0,52,57.95,No
0,43,91.65,No
1,37,76.5,Yes
0,64,54.6,No
0,3,89.85,No
0,36,31.05,No
0,10,100.25,Yes
0,27,85.2,No
0,56,99.8,No
0,3,74.4,Yes
0,7,50.7,No
0,33,88.95,No
1,27,78.05,Yes
1,71,56.45,No
0,13,85.95,No
0,25,58.6,Yes
0,67,50.55,No
0,1,35.45,Yes
0,2,44.35,Yes
0,23,75,No
1,1,70.45,Yes
1,72,88.05,No
0,8,71.15,Yes
0,61,101.05,No
0,64,84.3,No
0,65,99.05,No
0,1,45.65,Yes
0,30,64.5,No
0,15,69.5,No
0,8,68.55,No
0,7,95,Yes
0,70,108.15,No
0,62,86.1,No
0,14,80.9,No
0,22,84.15,No
0,16,64.25,No
0,13,56,No
0,20,82.4,Yes
0,2,69.7,No
0,53,73.9,No
0,4,70.9,Yes
0,72,89.05,No
1,58,45.3,Yes
0,43,84.25,No
0,2,104.4,Yes
0,14,81.95,No
0,53,94.85,Yes
1,15,74.45,Yes
1,7,76.45,Yes
0,15,105.35,No
0,1,29.95,Yes
0,1,45.3,No
0,8,84.5,Yes
0,33,74.75,No
0,13,79.25,Yes
0,1,24.8,Yes
0,20,51.8,No
0,3,30.4,No
0,40,56.6,No
0,43,71.9,No
0,6,91,Yes
0,72,109.7,No
0,20,96.55,No
0,59,111.35,No
0,72,112.25,No
0,27,101.9,No
0,14,80.05,No
0,71,105.55,No
0,13,78.3,No
0,44,68.85,No
0,33,79.95,No
0,72,55.45,No
0,1,79.9,Yes
0,19,106.6,Yes
0,64,102.45,No
0,2,46,Yes
0,1,25.25,No
1,23,86.8,No
0,57,58.75,No
0,72,45.25,No
0,66,56.6,No
0,65,84.2,No
0,8,80,No
0,4,70.15,Yes
0,4,50.05,Yes
0,24,50.6,No
0,31,81.15,No
0,1,55.2,Yes
0,30,89.9,No
0,47,85.3,No
0,54,108,No
0,50,93.5,No
0,1,84.6,Yes
0,2,54.4,Yes
0,10,29.6,No
0,18,73.15,No
1,11,95,Yes
0,72,86.6,No
0,72,109.2,No
0,41,74.7,No
1,65,94.4,No
1,13,54.8,No
1,4,75.35,No
0,41,65,No
1,15,74.4,Yes
0,1,48.55,Yes
0,42,99,No
0,51,93.5,No
0,2,70.4,Yes
1,1,40.2,Yes
0,32,83.7,No
0,67,59.55,No
0,61,115.1,No
0,50,114.35,No
0,2,44.6,Yes
1,29,45,No
1,3,41.15,Yes
1,13,106.9,Yes
1,57,89.85,No
0,31,49.85,No
0,45,113.3,No
0,61,88.1,No
1,19,105,No
1,16,94.45,Yes
0,57,59.75,No
0,1,24.8,Yes
1,20,107.05,No
0,1,70.6,Yes
0,5,85.4,Yes
0,52,105.05,Yes
1,21,64.95,No
0,14,55,No
0,5,50.55,No
0,6,55.15,No
0,10,51.2,No
0,68,54.45,No
0,18,95.15,Yes
0,22,76,No
0,20,44.35,No
0,1,70,Yes
1,8,74.5,Yes
0,10,44.85,Yes
1,24,76.1,Yes
0,35,61.2,No
0,23,86.8,No
1,6,89.35,No
0,71,76.05,No
1,35,100.8,No
0,40,74.55,No
0,1,73.6,Yes
0,23,64.9,No
1,4,95.45,Yes
0,4,90.4,No
0,68,60.3,No
0,38,81.85,No
1,32,74.9,Yes
0,29,75.55,No
1,38,101.15,No
0,48,78.75,No
0,22,89.05,No
0,43,115.05,No
1,5,69.35,No
0,5,80.6,Yes
0,51,110.05,No
0,38,80.3,Yes
1,24,93.15,Yes
0,35,91.5,No
1,54,82.45,Yes
0,72,60,No
0,1,44.8,No
0,9,48.6,No
0,69,60.05,No
0,52,102.7,No
1,11,82.9,No
1,2,70.35,Yes
1,28,35.9,No
1,17,82.65,No
0,46,94.9,No
0,7,73.85,Yes
0,2,80.6,Yes
0,68,75.8,Yes
0,43,104.6,Yes
0,68,88.15,No
0,36,94.8,No
0,63,103.4,Yes
1,32,54.65,No
0,71,85.75,No
0,66,67.45,No
1,1,72.1,No
0,2,90.4,Yes
0,23,44.95,No
1,64,97,No
0,37,62.8,No
0,17,44.6,No
1,7,89.15,No
0,4,84.8,Yes
1,21,41.9,Yes
0,10,80.25,Yes
1,16,54.1,No
0,64,105.25,No
1,27,30.75,Yes
0,42,97.1,No
0,41,98.8,No
0,58,50.3,No
0,18,75.9,No
0,5,96.5,Yes
0,23,59.95,No
0,71,98.65,No
0,72,112.6,No
0,2,85.65,Yes
0,24,35.75,No
0,56,99.75,No
0,37,96.1,No
0,43,85.1,No
0,1,25.35,No
0,25,104.95,Yes
0,61,89.65,No
0,17,86.75,No
0,41,86.2,No
0,1,50.65,Yes
1,72,64.8,No
0,1,90.85,Yes
0,48,108.1,No
1,55,85.45,Yes
0,42,54.75,No
0,44,90.4,No
0,1,44,No
0,27,95.6,No
1,27,84.8,No
1,2,44.3,No
1,42,95.05,No
0,66,90.05,No
1,33,109.9,No
0,34,73.95,Yes
1,33,54.6,No
0,69,99.45,Yes
0,68,55.9,No
0,60,95.4,No
1,32,93.95,No
1,3,81.35,Yes
0,29,74.95,No
0,51,87.35,No
1,48,70.65,No
0,16,73.25,No
0,70,98.7,No
0,22,83.3,Yes
1,1,75.3,Yes
0,7,69.85,No
0,29,100.55,No
0,10,40.7,No
1,55,51.65,No
1,52,105.1,No
0,10,85.95,No
0,18,75.6,No
0,68,58.25,No
0,72,65.2,No
0,2,53.45,No
0,12,45.4,Yes
0,26,44.45,No
0,72,114.05,No
0,35,89.85,No
0,1,55.05,No
0,16,112.95,No
1,49,101.55,No
0,54,114.65,No
0,18,64.8,No
0,36,80.4,No
0,60,105.9,Yes
0,1,69.55,Yes
0,8,94.75,No
0,72,105.5,No
1,22,69.75,No
0,60,60.2,No
0,28,81.05,Yes
0,24,104.15,No
0,28,92.9,No
0,30,80.8,No
0,1,75.1,No
0,24,69.45,No
0,4,101.15,Yes
0,7,99.8,Yes
1,72,116.05,No
0,70,40.05,No
1,64,102.1,No
0,72,89.7,No
0,13,55.95,Yes
0,1,55,Yes
0,9,70.05,No
0,24,53.6,No
0,1,74.7,Yes
0,24,80.25,Yes
1,35,76.05,No
0,7,75.7,No
0,5,96.1,Yes
0,15,69,Yes
0,48,45.3,Yes
1,20,81.45,No
0,72,108.5,No
0,8,83.55,Yes
0,72,84.5,No
0,15,100.15,No
0,72,88.6,No
0,0,52.55,No
0,1,74.35,Yes
0,63,104.8,No
0,2,59,No
0,2,74.4,Yes
1,61,64.05,No
0,22,43.75,Yes
0,28,60.9,No
1,5,28.45,Yes
0,12,99.7,Yes
0,34,116.25,No
1,71,80.7,No
0,70,65.2,No
0,52,84.05,No
0,69,79.45,No
1,20,94.1,Yes
0,11,78,No
0,2,94.2,Yes
0,6,80.5,Yes
1,20,94.3,No
0,61,106.45,No
1,5,74.35,Yes
0,56,105.45,No
0,30,95,No
0,40,104.8,Yes
0,28,54.3,No
1,5,70.05,No
1,27,75.2,Yes
0,67,105.4,No
1,29,51.6,No
0,55,85.5,No
0,23,75.6,Yes
0,34,100.05,Yes
0,52,91.25,No
1,72,115.75,No
0,58,94.7,No
1,56,99.9,No
0,2,79.95,No
1,68,107.15,No
0,1,85,Yes
0,12,89.55,No
0,63,81.55,No
0,33,58.45,No
0,69,95.65,No
0,60,80.6,No
0,72,113.1,No
0,11,58.95,No
0,10,86.05,Yes
0,13,45.55,Yes
0,34,78.95,No
0,39,86.3,Yes
0,65,105.05,No
1,50,101.9,No
0,72,110.3,No
0,72,115.6,No
0,32,80.35,Yes
0,56,68.75,No
0,38,70.6,No
0,11,70.2,No
0,1,49.3,No
0,56,107.25,No
0,7,69.7,No
0,59,99.5,No
0,7,64.3,No
0,71,70.85,No
0,15,101.9,No
0,71,73.5,No
0,35,100.25,Yes
0,11,40.4,No
1,47,59.6,No
0,11,64.9,No
0,56,100.3,Yes
1,28,110.85,No
0,61,81.05,No
0,31,98.05,No
0,9,70.5,No
1,35,94.55,No
0,1,75.3,Yes
1,4,89.2,Yes
1,1,85.7,Yes
0,52,63.25,No
0,72,99.15,No
0,71,90.4,No
0,72,111.9,No
0,63,83.5,No
0,30,84.3,No
0,1,45.6,No
0,12,61.65,Yes
0,16,54.85,No
0,4,65.55,No
0,51,90.35,No
0,16,74.55,No
0,66,74.25,No
0,46,108.65,No
0,32,109.55,No
0,72,86.65,No
0,38,81,No
0,51,47.85,No
0,72,114.55,No
1,65,105.25,Yes
0,9,29.95,Yes
0,9,65,Yes
1,44,109.8,No
0,50,69.5,No
0,15,48.85,No
0,8,25.25,No
1,66,102.85,No
0,57,87.55,No
0,7,78.55,No
1,10,34.55,No
0,62,92.05,No
0,40,85.05,No
0,25,95.15,No
0,23,84.25,No
1,66,104.6,No
1,72,111.65,No
1,49,90.05,Yes
1,43,110.75,Yes
0,46,55,No
0,72,89.85,No
0,40,54.55,No
0,65,105.5,Yes
0,31,99.45,No
0,68,70.9,No
1,56,104.55,Yes
0,10,85.25,Yes
0,43,56.15,Yes
0,1,89.55,Yes
1,49,89.85,No
1,20,94.55,Yes
0,1,45.7,Yes
0,50,69.65,No
1,2,89.5,Yes
1,24,70,No
0,3,69.55,Yes
0,1,74.6,Yes
0,10,95.1,No
0,68,88.85,No
0,45,78.8,No
0,4,24.25,Yes
0,10,45.25,No
0,65,69.55,No
0,3,74.75,No
0,2,69.65,Yes
0,49,30.2,No
0,4,45.65,Yes
0,70,57.8,No
0,1,75.05,Yes
1,52,49.15,Yes
1,65,110.35,No
0,2,34.7,Yes
0,3,107.95,No
0,45,81.4,No
0,1,80,Yes
0,61,73.8,No
0,3,64.4,No
1,40,103.75,No
0,1,71.1,No
0,1,49.9,No
1,2,49.25,Yes
0,52,30.1,No
0,51,83.4,No
0,31,75.25,No
0,3,75.1,Yes
0,72,85.15,No
0,3,50.15,Yes
1,47,84.95,No
0,72,66.5,No
0,66,63.3,No
0,35,83.15,No
0,29,84.9,No
0,4,49.25,No
0,25,79.85,Yes
0,65,59.6,No
1,27,104.65,No
0,29,75.3,No
0,29,80.1,No
0,20,81,No
0,14,86,No
0,46,89.15,No
0,71,58.25,No
0,32,85.65,No
0,26,50.35,No
1,68,80.35,No
0,4,85.95,Yes
0,3,45.35,Yes
1,33,94.5,Yes
0,5,80.85,No
1,30,91.7,Yes
0,65,74.2,No
0,45,87.25,Yes
0,25,75.5,No
0,72,79.05,No
0,27,90.15,No
0,32,50.6,No
0,30,110.45,No
0,70,101,No
1,42,79.35,No
1,72,89.85,No
0,47,65,No
0,2,80.45,No
0,10,98.55,Yes
0,5,44.05,No
1,72,110.8,No
1,72,114.95,No
1,3,75.05,No
0,63,90.05,No
0,27,56.7,No
0,70,80.15,No
0,7,71.35,No
0,2,90.35,No
1,20,98.55,Yes
0,15,85.9,Yes
0,72,90.35,No
0,22,89.25,Yes
0,3,70.3,Yes
0,72,66.85,No
0,11,35.8,No
0,22,78.85,No
0,41,74.25,No
0,17,64.8,No
0,15,93.35,Yes
0,5,88.9,Yes
0,33,95.8,Yes
0,72,110.65,No
0,3,40.3,No
0,2,82,Yes
0,59,107,No
0,2,45.35,Yes
0,71,73.35,No
0,5,44.8,No
0,27,54.75,No
0,1,52.2,Yes
0,63,40.6,No
1,46,110,Yes
0,72,55.3,No
0,34,60.85,No
0,24,78.4,No
0,72,69.65,No
0,60,59.85,No
0,68,76.9,No
0,34,67.65,No
0,6,45,No
0,2,64.2,No
0,31,81.7,No
0,62,96.75,Yes
1,70,75.65,No
0,10,98.5,Yes
0,46,64.2,No
0,6,85.35,Yes
0,72,76.8,No
0,18,55.2,No
0,71,108.55,No
0,40,101.3,Yes
0,1,69.55,Yes
0,58,103.25,Yes
0,70,104,Yes
0,34,30.4,No
0,25,84.6,No
0,2,86.2,Yes
0,55,103.7,No
0,21,111.2,Yes
0,70,88,No
0,61,106.35,No
0,43,79.15,No
0,47,103.1,No
0,5,63.95,No
0,16,89.45,Yes
1,7,95.6,Yes
0,60,90.95,Yes
0,34,44.85,No
0,50,108.55,Yes
0,70,74.1,No
0,37,88.8,No
1,4,78.85,Yes
1,60,93.25,No
0,62,71.4,No
0,1,44.4,Yes
0,36,79.2,No
1,55,100,Yes
0,72,105,No
0,13,30.85,No
0,1,89.9,Yes
0,65,84.85,No
0,12,33.15,No
0,72,92,No
0,72,89.8,No
0,72,115.8,No
0,52,85.15,No
0,5,64.35,No
0,62,100.15,Yes
0,72,86.05,No
0,1,50.8,Yes
0,66,89,No
0,72,64.8,No
0,64,93.4,No
1,20,73.65,Yes
0,3,95.1,Yes
0,22,94.65,Yes
0,4,80.6,Yes
0,62,39,No
0,59,85.55,Yes
0,72,98.2,No
0,57,97.55,No
0,60,50.8,Yes
0,45,99.7,No
0,3,34.8,No
0,15,105.1,Yes
0,51,60.15,No
0,60,64.75,No
0,33,54.65,No
0,10,110.1,Yes
0,6,83.9,Yes
0,67,111.25,No
0,49,35.8,No
1,7,84.35,No
1,27,110.5,No
0,37,91.2,No
0,63,100.55,Yes
0,31,89.3,No
0,50,103.85,Yes
1,32,81.1,No
0,1,24.6,Yes
0,63,81.2,No
0,30,94.3,No
0,71,116.1,No
0,53,105.55,No
0,12,98.9,Yes
0,50,94.4,No
0,9,98.3,Yes
0,17,93.85,Yes
0,56,105.6,No
0,67,81.35,No
1,9,100.5,Yes
0,4,56.4,No
0,19,65.35,No
0,71,111.25,No
1,10,72.85,Yes
1,15,89,No
0,72,106.1,No
1,1,73.55,Yes
1,23,75.4,No
0,72,65.55,No
0,26,80.7,No
0,21,104.55,No
0,16,75.4,No
0,63,79.7,No
1,22,81.7,No
0,32,76.3,No
1,3,79.4,Yes
0,13,81.15,Yes
0,68,103.75,No
0,30,86.45,No
0,16,75.1,No
0,33,80.6,No
1,4,84.6,Yes
0,12,33.6,No
1,4,83.25,No
0,0,80.85,No
0,6,79.05,Yes
0,65,108.05,No
0,13,30.15,No
0,24,79.85,No
0,72,65.5,No
0,54,104.1,No
0,3,74.4,Yes
1,32,91.35,No
1,35,99.05,Yes
1,2,44.95,Yes
0,8,75.6,No
0,22,55.1,No
0,15,58.95,No
0,22,95.1,No
0,1,44.7,Yes
0,4,56.75,No
0,25,81.75,No
0,32,86.1,No
1,7,29.8,No
1,8,60.9,No
1,56,73.25,No
0,1,45.7,Yes
1,8,100.3,Yes
0,71,77.35,No
0,2,96,Yes
0,1,90.55,Yes
0,49,93.85,No
0,58,70.1,No
1,44,30.35,Yes
0,59,75.95,No
0,71,108.05,Yes
0,1,69.9,Yes
0,11,75.25,No
1,62,103.75,Yes
0,35,54.95,No
0,39,47.85,No
0,1,86.6,Yes
1,33,80.6,Yes
0,12,43.8,No
0,56,80.3,No
0,35,85.3,Yes
0,34,70,Yes
1,4,94.3,Yes
0,2,70.3,No
0,7,95.35,Yes
1,27,75.5,Yes
0,4,69.55,No
1,53,95.85,No
0,18,90.1,Yes
0,2,68.95,Yes
0,32,99.55,Yes
0,3,50.15,No
0,71,58.65,No
0,9,95.9,No
0,1,49.5,No
0,18,57.45,Yes
0,12,53.65,Yes
0,71,80.1,No
0,4,40.05,No
0,39,51.05,No
0,28,54.35,No
1,5,84.7,No
1,45,86.1,No
0,37,70.35,No
1,60,110,No
1,8,100.6,Yes
0,47,94.9,No
0,26,83.75,Yes
1,3,88.3,Yes
0,50,69.75,No
0,27,71.6,No
1,8,92.1,Yes
0,71,81.85,No
0,68,114.7,No
0,13,49.15,No
0,56,80.9,No
0,38,79.45,Yes
1,14,90.45,Yes
0,14,70.2,No
0,32,69.75,Yes
0,8,54.25,No
0,43,99.3,No
0,52,74,No
0,3,50.25,No
1,12,43.65,Yes
0,16,35.5,No
0,40,80.75,No
0,5,39.5,Yes
0,40,97.1,Yes
0,5,80,Yes
0,10,84.7,Yes
0,2,89.55,Yes
0,23,90.6,Yes
1,72,112.4,No
0,34,50.2,No
0,10,62.25,No
0,14,55.7,No
0,23,90.05,Yes
0,24,89.25,No
0,49,99.05,Yes
1,20,54,No
0,2,69.75,Yes
0,2,49.05,Yes
0,22,56.75,No
0,7,98.05,Yes
0,59,96.65,No
0,41,114.5,Yes
1,59,79.2,No
0,3,69.55,No
1,46,98.85,No
0,2,80.95,Yes
1,13,74.3,Yes
1,11,89.7,Yes
0,32,87.65,No
1,17,100.45,Yes
0,16,74.75,No
0,51,107.45,No
0,29,75.35,No
0,70,64.95,No
0,71,100.45,No
0,41,68.5,No
0,1,80.55,No
0,7,81.25,No
0,25,90.4,Yes
0,67,89.55,No
0,5,55.7,No
0,3,56.15,Yes
0,54,105.2,No
0,9,79.75,No
0,63,97.45,No
0,40,50.15,No
0,60,39.6,No
0,4,94.4,Yes
1,71,89.85,No
0,37,78.95,Yes
0,32,98.85,No
0,39,53.85,No
0,52,89.45,No
0,48,105.25,No
0,70,59.5,No
0,20,70.55,No
0,50,82.5,No
0,19,44.85,Yes
0,25,61.6,No
0,12,49.05,No
1,39,105.65,Yes
0,7,74.65,Yes
0,23,66.25,No
1,47,86.05,No
0,14,64.7,Yes
1,11,104.05,Yes
0,26,81.95,No
1,72,114.65,No
0,11,65.15,No
0,13,88.95,No
1,11,75.2,No
0,18,56.8,No
0,1,35.55,Yes
0,32,75.5,No
0,29,35.6,No
0,3,60.25,No
0,2,95.15,Yes
0,13,96.65,Yes
0,41,40.35,No
0,7,54.85,No
0,52,64.3,No
0,70,76.1,No
1,62,97.95,No
0,60,94.1,No
1,3,80.4,Yes
1,23,95.1,No
0,1,31.35,Yes
0,67,72.35,No
0,12,89.75,Yes
1,71,82.7,No
0,5,53.8,No
0,26,51.55,No
1,70,44.05,No
0,72,114,No
0,60,94.4,Yes
1,32,100.4,No
0,14,54.25,No
0,13,80,No
0,6,109.9,Yes
0,46,79.2,No
0,15,101.35,Yes
1,43,94.3,No
0,39,49.8,No
1,21,60.05,Yes
0,57,53.75,No
0,53,93.45,No
0,18,87.9,No
0,1,60.15,Yes
0,58,61.05,No
1,71,104.05,No
0,35,99.25,No
0,3,85.7,No
0,38,104.85,No
0,35,69.15,No
0,7,90.45,Yes
0,47,74.45,No
0,14,50.45,No
1,20,60,No
0,66,85.25,No
0,17,78.9,No
0,37,104.5,No
0,12,49.4,No
0,53,94.25,Yes
0,18,25.55,No
0,1,74.9,Yes
0,3,70.15,No
0,9,69.4,No
0,1,80.25,Yes
0,56,93.15,No
0,17,69,Yes
0,11,66.35,Yes
0,7,69.55,No
0,19,86,Yes
0,3,80.3,Yes
0,24,90.55,Yes
0,62,70.45,No
0,17,65.75,No
0,9,24.6,No
0,64,69.25,No
0,2,75.9,Yes
0,1,45.85,Yes
0,16,49.95,Yes
0,30,90.4,No
0,49,100.85,No
0,61,75.35,No
0,47,87.2,No
0,20,64.4,No
0,34,78.3,Yes
0,54,105.85,No
1,61,98.3,No
0,3,76.95,Yes
1,16,96.15,Yes
0,3,58.7,No
0,30,64.5,No
0,21,28.5,No
0,1,45.3,Yes
1,23,90.45,No
0,45,105.15,No
0,24,83.15,No
0,11,90.15,Yes
0,1,45.05,Yes
0,56,103.2,No
0,1,75.8,Yes
0,7,79.3,Yes
1,55,88.8,No
0,2,30.9,Yes
0,72,85.9,No
1,45,34.2,No
1,46,95.25,Yes
0,2,50.3,No
0,2,80.15,No
0,12,51.25,No
1,68,89.6,Yes
0,69,95.2,No
1,56,94.8,No
1,4,80.25,No
0,64,76.1,No
0,59,110.15,Yes
0,62,115.55,No
0,53,53.6,No
1,49,88.2,No
0,62,101.15,No
0,55,56.8,No
1,71,99.4,No
0,36,60.7,No
1,72,114.85,No
0,1,62.8,No
0,72,105.5,No
1,7,89.5,Yes
0,1,74.1,No
0,30,107.5,No
0,63,68.8,No
1,72,84.45,No
0,8,75,Yes
0,62,84.5,No
0,67,111.2,No
0,6,44.75,Yes
0,70,80.6,No
1,20,80.7,No
0,5,75.6,No
0,24,57.6,No
0,11,44.05,Yes
0,72,110.6,No
0,66,58.2,No
0,45,81,No
1,15,85.6,Yes
0,28,59.55,No
0,70,115.55,Yes
0,36,75.55,No
1,16,86.6,Yes
0,18,85.2,Yes
0,34,97.65,Yes
0,42,45.1,No
0,48,70.95,No
0,47,109.55,Yes
0,39,89.55,Yes
0,8,66.7,No
0,32,94.8,No
0,60,65.85,No
1,1,69.25,Yes
0,43,51.25,No
0,59,99.5,Yes
0,23,54.25,No
0,22,56.25,No
0,1,25.15,No
0,50,35.4,No
1,1,25.2,Yes
0,2,45,Yes
0,15,75.35,No
0,66,105,Yes
0,0,56.05,No
0,3,54.7,Yes
0,64,73.05,No
0,57,100.75,No
0,14,87.25,Yes
0,10,79.95,Yes
0,51,49.65,No
0,67,65.65,No
0,72,60.95,No
0,18,88.35,Yes
0,9,75.2,No
0,48,111.45,No
0,10,70.15,No
0,9,94.75,Yes
1,13,95.05,Yes
0,4,78.45,Yes
0,4,70.2,Yes
0,72,92,No
0,51,85.5,No
0,59,41.05,Yes
0,10,85.6,Yes
1,61,82.15,No
0,54,84.4,No
0,33,60.9,No
1,1,79.2,Yes
0,23,95.3,No
0,45,84.35,No
0,5,70,Yes
0,72,82.3,No
0,58,66.8,No
0,70,44.6,No
0,61,98.45,No
0,2,70.7,No
